"tokipona","english"
"sewi li ' laso.","The sky is blue."
"sin en ante li sin e lawa li pana e sona.","Novelty and change freshen the mind and bring insight."
"sina ' moli la sina ken ala toki.","If you are dead, you can't speak."
"sina ' pona anu seme?","Are you OK (or what)?"
"sina ' pona.","You are good."
"sina ' suli a!","You are so tall!"
"sina ' suli.","You're tall."
"sina jo e kili anu telo nasa?","Do you have the fruit, or is it the wine that you have?"
"sina kama anu seme?","Are you coming or what?"
"sina kama e ni: mi wile moku.","You caused this: I want to eat. / You made me hungry."
"sina kama jo e jan pona, lon ni.","You will get friends there."
"sina kama, tan ma seme?","Which country do you come from?"
"sina kama, tan seme?","Why did you come?"
"sina ken ala ken kama?","Can you come?"
"sina ken ala ken lape?","Can you sleep?"
"sina kepeken ala kepeken ni?","Are you using that?"
"sina kepeken seme?","What are you using?"
"sina len nasa jaki e sina.","You dress disgustingly silly."
"sina lon ala lon ma tomo Wankuwa?","Do you live in Vancouver?"
"sina lon ma tomo seme?","What city do you live in?"
"sina lon seme?","Where are you?"
"sina lukin ala lukin e kiwen?","Do you see the rock?"
"sina lukin ala lukin e sitelen tawa X-Files?","Do you watch The X-Files?"
"sina lukin e jan seme?","Whom did you see?"
"sina lukin e pipi.","You're watching a bug."
"sina lukin e seme?","What are you watching?"
"sina lukin sewi e suno.","You look up at the sun."
"sina lukin unpa mute e mi.","You're looking at me very sexy."
"sina moku e telo nasa la sina nasa.","If you drink beer, you'll be silly."
"sina o telo e sina!","Wash yourself!"
"sina pakala e ilo, kepeken nasin seme?","How did you break the tool?"
"sina pakala e seme?","What did you hurt?"
"sina pali e ni, kepeken nasin seme?","How did you make this?"
"sina pali e ni, kepeken seme?","What did you use to work on this?"
"sina pana ala pana e moku tawa jan lili?","Did you give food to the child?"
"sina pana e ike la sina kama jo e ike.","If you give evil, you will receive evil."
"sina pilin e seme?","What are you thinking?"
"sina pilin seme?","How are you? / How are you feeling?"
"sina pilin seme?","How do you feel?"
"sina pona ala pona e sina? / sina pona e sina anu seme?","Have you improved?"
"sina pona ala pona?","Do you fix (something)?"
"sina pona pilin la ...","If You are Happy ..."
"sina pona.","You fix."
"sina sona ala sona e toki mi?","Do you understand what I'm saying?"
"sina sona e toki ni la sina sona e toki pona!","Figure this one out for yourself. :o)"
"sina suno mi.","You are My Sunshine."
"sina tawa ma tomo, tan seme?","Why did you go to the city?"
"sina tawa, lon poka pi jan seme?","Whom did you go with?"
"sina telo e sina.","You wash yourself."
"sina toki e ni, tawa mi: sina moku.","You told me that you are eating."
"sina toki mu e ni.","You say that beastly."
"sina toki, tawa jan seme?","Whom are you talking to?"
"sina toki, tawa mi anu ona?","Are you talking to me, or are you talking to him?"
"sina wile ala wile moku?","Do you want to eat?"
"sina wile ala wile pali? wile ala.","Do you want to work? No."
"sina wile e mani anu seme?","Do you want the money or what?"
"sina wile e moku anu telo?","Do you want food, or do you want water?"
"sina wile jo e ilo moli la sina wile moli e jan.","If you want a gun, you want to kill people."
"sina wile kama anu seme?","Do you want to come or what?"
"sina wile kama, tawa tomo toki.","You should come to the chat room."
"sina wile kepeken ilo.","You have to use tools."
"sina wile moku anu seme?","Do you want to eat or what?"
"sina wile pali e seme?","What do you want to do?"
"sina wile tawa, tawa ma seme?","What place do you want to go to?"
"sina wile tawa, tawa telo suli.","You want to go to the ocean."
"sina wile toki e tan, tawa mi.","You have to tell me why."
"sina wile toki, tawa mije anu meli?","Do you want to talk a male, or a female?"
"sinpin mi la tomo li lon.","In front of me is the house."
"sitelen tawa 'Bowling for Columbine' li pona kin.","The movie 'Bowling for Columbine' is also good."
"sitelen tawa 'Fahrenheit 9/11' li pona, tawa mi.","I like the movie 'Fahrenheit 9/11'."
"soweli li kama ala kama moli?","Is the dog dying?"
"soweli li kama moli.","The dog dies."
"soweli li toki e mu.","Cows say moo."
"soweli lili li ' ike, tawa mi.","I'm allergic to cats."
"soweli mi li kama moli.","My dog is dying."
"soweli ni li ' pona moku.","This cow is good to eat."
"suno li ' jelo.","The sun is yellow."
"suno li ' suli.","The sun is big."
"suno li lon","It's sunny"
"suno li lon poka pimeja.","Light is beside darkness. Opposites are interconnected. Yin and yang."
"suno li lon sewi mi.","The sun is above me."
"suno li lon sewi.","The sun is in the sky."
"suno li suno seli e ma.","The sun shines warmly on the land."
"suno li suno.","The sun is shining."
"suno pona!","Good sun! Good day!"
"tan ni la mi sona e nasin.","If this is the cause, we know the solution."
"taso ni la mi pilin pona.","Only this one makes me feel good."
"taso tenpo pimeja pini la mi kama nasa.","But, Last night, I became drunk."
"tawa mi la li ' pona, tawa mi.","It's good for me when I'm on the move."
"tawa mi la mi pilin pona.","Am I in motion, I feel good."
"tawa pona!","Good bye (spoken by the person who's staying)"
"tawa pona!","(in reply to a person leaving) Go well! Good bye!"
"telo li ' pona.","Water is good."
"telo li ' pona.","Water is simple."
"telo li ' suli.","The lake is big."
"telo li pona.","Water is cleaning."
"telo ni li ' lete, tawa mi.","This lake is cold."
"telo suli li ' ike, tawa mi.","I don't like the ocean."
"telo suli li ' laso.","The big water [ocean] is blue."
"telo suli li lon monsi mi.","The sea is behind me."
"tenpo ali la o kama sona!","Always learn!"
"tenpo kama la mi lape.","In the future, I'll sleep."
"tenpo li sijelo e sijelo ike ale.","The time heals every wounds."
"tenpo li tawa la sona li kama.","Time comes -- advice comes."
"tenpo ni en tenpo kama la ona li moku.","Now and later he eats."
"tenpo ni la mi lon.","At this time, I am here."
"tenpo ni la mi lon.","Now I exist."
"tenpo ni la mi moku e telo.","If it's now, I'll drink. / I drink now."
"tenpo ni la ona li lon tomo ni.","At this time he's in the house ."
"tenpo ni la tenpo kama la ona li moku.","Now and later he eats."
"tenpo ni la tomo ni la ona li lon.","At this time and in this house he is."
"tenpo pi mute seme la sina sike e suno?","How old are you?"
"tenpo pimeja ni la mun li ' suli anu seme?","Is the moon big tonight?"
"tenpo pimeja ni la mun li ' suli.","The moon is big tonight."
"tenpo pimeja pini la mi lukin e sitelen tawa X-Files.","Last night I watched X-Files."
"tenpo pini la mi ' weka.","In the past, I was away."
"tenpo suno kama la mi wile pali.","I have to work tomorrow."
"tenpo suno ni la mun li pimeja ala pimeja e suno?","Is there an eclipse today?"
"tenpo suno sin ale la mi moku e telo seli pimeja","Every morning I drink coffee."
"tenpo tu tu la mi sike e suno.","Four times, I circled the sun."
"toki Inli li ' pona.","The English language is good."
"toki li ' pona, tawa mi.","I like talking. / I like languages."
"toki li ' pona.","Communication is good."
"toki mi li ' Tosi.","My mother tongue is German."
"toki pona li ' pona, tawa mi.","I like Toki Pona."
"toki pona li toki pona.","Toki Pona is a good language."
"toki sitelen li ' pona, tawa jan ali.","Written language (writing) is good for all people."
"tomo li lon sinpin mi.","The house is in front of me."
"tomo ni li pakala.","This house is falling apart."
"tomo pi jan Keli en mije ona li suli.","The house of Keli and her boyfriend is big."
"tomo pi jelo en loje pi meli Susan en mije jan Ken li ' nasa, tawa mi.","Susan and Ken's yellow and blue patterned house looks strange."
"tomo pi mi mute li ' pakala.","Our house is messed up."
"tomo tawa akesi li tawa, lon ma li tawa, lon telo.","The amphibious vehicle drives on land and in the water."
"tu pi ona en sina pi kalama musi li ' pona.","Your music duo is good."
"unpa li pona","Sex is good. / I like sex."
"utala li ' ike, tawa mi.","I don't like wars."
"utala li ' ike.","Conflict is bad."
"walo pimeja li ' pona, tawa mi.","Grey (dark white) is my favourite colour."
"waso li ken ala lukin la ona li ken kin jo e kili.","A blind chicken can find a corn too."
"waso li tawa, lon kon.","Birds fly in air."
"waso soweli li ' pimeja.","The bat is black."
"waso wawa li tawa e ona, lon kon.","The eagle moves through the air."
"wawa li lon insa.","Energy comes from inside. Youth is all in the heart."
"weka lili li ' pona, tawa lawa.","Temporary isolation is good for meditation."
"weka sina li ' ike, tawa mi.","Your absence is not good to me."
"wile pi jan ike li pakala e ijo.","The desires of evil people mess things up."
"wile sona li mute e sona.","Curiosity feeds wisdom. One learns by asking questions."
